Country Name,admin,"Employers, male (% of employment)","Employers, female (% of employment)","Employers, total (% of employment)",GDP growth (annual %),Labor force with primary education (% of total)
Uruguay,URY,6,2.7999999523,4.5,3.4984147876,23.1000003815
Uzbekistan,UZB, , , ,8.100000002, 
Vanuatu,VUT,1.7999999523,1,1.3999999762,1.9691460804, 
"Venezuela, RB",VEN,4.6999998093,1.7999999523,3.5999999046,-3.9992441417,41.0999984741
Vietnam,VNM,3.4000000954,1.5,2.5,5.983654637, 
Virgin Islands (U.S.),VIR, , , , , 
West Bank and Gaza,WBG,7.0999999046,1.7999999523,6.1999998093,-1.4990569546,50.5
"Yemen, Rep.",YEM,4.6999998093,2,4.5,4.1557055262,16.1000003815
Zambia,ZMB,0.6000000238,0.200000003,0.3000000119,6.000000073, 
Zimbabwe,ZWE,0.6000000238,0.3000000119,0.5,3.1682106124, 

Data from database: Jobs,,,,,,
Last Updated: 10/15/2015,,,,,,
